التاريخ,الصنف,التصنيف,الكمية,سعر الوحدة (ر.ع),التكلفة (ر.ع),إجمالي المبيعات (ر.ع),الربح (ر.ع)
2023-08-11,Panadol Extra 500mg,Painkillers,1,1.2,0.72,1.2,0.48
2023-08-11,Sunblock (La Roche),Cosmetics,4,12.0,7.2,48.0,19.2
2023-08-11,Omega 3 Fish Oil,Vitamins,3,6.0,3.6,18.0,7.2
2023-08-11,Vitamin C 1000mg,Vitamins,5,3.5,2.1,17.5,7.0
2023-08-11,Blood Pressure Monitor,Medical Devices,1,15.0,9.0,15.0,6.0
2023-08-11,Sunblock (La Roche),Cosmetics,5,12.0,7.2,60.0,24.0
2023-08-12,Blood Pressure Monitor,Medical Devices,2,15.0,9.0,30.0,12.0
2023-08-12,Blood Pressure Monitor,Medical Devices,4,15.0,9.0,60.0,24.0
2023-08-12,Diapers (Pampers),Baby Care,1,6.5,3.9,6.5,2.6
2023-08-13,Blood Pressure Monitor,Medical Devices,4,15.0,9.0,60.0,24.0
2023-08-13,Sunblock (La Roche),Cosmetics,2,12.0,7.2,24.0,9.6
2023-08-13,Band-Aids,First Aid,2,0.8,0.48,1.6,0.64
2023-08-13,Omega 3 Fish Oil,Vitamins,1,6.0,3.6,6.0,2.4
2023-08-13,Band-Aids,First Aid,3,0.8,0.48,2.4,0.96
2023-08-14,Panadol Extra 500mg,Painkillers,3,1.2,0.72,3.6,1.44
2023-08-14,Sunblock (La Roche),Cosmetics,5,12.0,7.2,60.0,24.0
2023-08-14,Omega 3 Fish Oil,Vitamins,3,6.0,3.6,18.0,7.2
2023-08-14,Brufen 400mg,Painkillers,4,1.5,0.9,6.0,2.4
2023-08-14,Omega 3 Fish Oil,Vitamins,5,6.0,3.6,30.0,12.0
2023-08-14,Amoxil 500mg (Antibiotic),Prescription,4,4.2,2.52,16.8,6.72
2023-08-14,Amoxil 500mg (Antibiotic),Prescription,3,4.2,2.52,12.6,5.04
2023-08-15,Amoxil 500mg (Antibiotic),Prescription,2,4.2,2.52,8.4,3.36
2023-08-15,Brufen 400mg,Painkillers,5,1.5,0.9,7.5,3.0
2023-08-15,Panadol Extra 500mg,Painkillers,3,1.2,0.72,3.6,1.44
2023-08-15,Amoxil 500mg (Antibiotic),Prescription,4,4.2,2.52,16.8,6.72
2023-08-15,Blood Pressure Monitor,Medical Devices,5,15.0,9.0,75.0,30.0
2023-08-15,Face Wash (Vichy),Cosmetics,4,9.5,5.7,38.0,15.2
2023-08-15,Brufen 400mg,Painkillers,1,1.5,0.9,1.5,0.6
2023-08-16,Diapers (Pampers),Baby Care,5,6.5,3.9,32.5,13.0
2023-08-16,Brufen 400mg,Painkillers,5,1.5,0.9,7.5,3.0
2023-08-16,Diapers (Pampers),Baby Care,4,6.5,3.9,26.0,10.4
2023-08-16,Face Wash (Vichy),Cosmetics,4,9.5,5.7,38.0,15.2
2023-08-16,Brufen 400mg,Painkillers,2,1.5,0.9,3.0,1.2
2023-08-16,Band-Aids,First Aid,5,0.8,0.48,4.0,1.6
2023-08-16,Vitamin C 1000mg,Vitamins,2,3.5,2.1,7.0,2.8
2023-08-16,Diapers (Pampers),Baby Care,4,6.5,3.9,26.0,10.4
2023-08-17,Band-Aids,First Aid,3,0.8,0.48,2.4,0.96
2023-08-17,Cough Syrup,Cold & Flu,1,2.1,1.26,2.1,0.84
2023-08-17,Brufen 400mg,Painkillers,2,1.5,0.9,3.0,1.2
2023-08-17,Amoxil 500mg (Antibiotic),Prescription,3,4.2,2.52,12.6,5.04
2023-08-17,Brufen 400mg,Painkillers,4,1.5,0.9,6.0,2.4
2023-08-18,Band-Aids,First Aid,3,0.8,0.48,2.4,0.96
2023-08-18,Omega 3 Fish Oil,Vitamins,5,6.0,3.6,30.0,12.0
2023-08-18,Face Wash (Vichy),Cosmetics,5,9.5,5.7,47.5,19.0
2023-08-18,Panadol Extra 500mg,Painkillers,2,1.2,0.72,2.4,0.96
2023-08-18,Cough Syrup,Cold & Flu,5,2.1,1.26,10.5,4.2
2023-08-18,Brufen 400mg,Painkillers,2,1.5,0.9,3.0,1.2
2023-08-19,Brufen 400mg,Painkillers,1,1.5,0.9,1.5,0.6
2023-08-19,Band-Aids,First Aid,2,0.8,0.48,1.6,0.64
2023-08-19,Panadol Extra 500mg,Painkillers,2,1.2,0.72,2.4,0.96
2023-08-19,Omega 3 Fish Oil,Vitamins,1,6.0,3.6,6.0,2.4
2023-08-19,Amoxil 500mg (Antibiotic),Prescription,3,4.2,2.52,12.6,5.04
2023-08-20,Cough Syrup,Cold & Flu,4,2.1,1.26,8.4,3.36
2023-08-20,Diapers (Pampers),Baby Care,2,6.5,3.9,13.0,5.2
2023-08-20,Brufen 400mg,Painkillers,3,1.5,0.9,4.5,1.8
2023-08-20,Diapers (Pampers),Baby Care,1,6.5,3.9,6.5,2.6
2023-08-20,Cough Syrup,Cold & Flu,1,2.1,1.26,2.1,0.84
2023-08-20,Cough Syrup,Cold & Flu,4,2.1,1.26,8.4,3.36
2023-08-21,Sunblock (La Roche),Cosmetics,11,12.0,7.2,132.0,52.8
2023-08-21,Amoxil 500mg (Antibiotic),Prescription,2,4.2,2.52,8.4,3.36
2023-08-21,Blood Pressure Monitor,Medical Devices,1,15.0,9.0,15.0,6.0
2023-08-21,Diapers (Pampers),Baby Care,4,6.5,3.9,26.0,10.4
2023-08-21,Omega 3 Fish Oil,Vitamins,1,6.0,3.6,6.0,2.4
2023-08-21,Omega 3 Fish Oil,Vitamins,2,6.0,3.6,12.0,4.8
2023-08-22,Cough Syrup,Cold & Flu,4,2.1,1.26,8.4,3.36
2023-08-22,Panadol Extra 500mg,Painkillers,1,1.2,0.72,1.2,0.48
2023-08-22,Diapers (Pampers),Baby Care,4,6.5,3.9,26.0,10.4
2023-08-22,Sunblock (La Roche),Cosmetics,12,12.0,7.2,144.0,57.6
2023-08-22,Baby Formula Milk,Baby Care,2,4.8,4.08,9.6,1.44
2023-08-22,Blood Pressure Monitor,Medical Devices,3,15.0,9.0,45.0,18.0
2023-08-23,Cough Syrup,Cold & Flu,5,2.1,1.26,10.5,4.2
2023-08-23,Diapers (Pampers),Baby Care,1,6.5,3.9,6.5,2.6
2023-08-23,Brufen 400mg,Painkillers,4,1.5,0.9,6.0,2.4
2023-08-24,Baby Formula Milk,Baby Care,1,4.8,4.08,4.8,0.72
2023-08-24,Face Wash (Vichy),Cosmetics,3,9.5,5.7,28.5,11.4
2023-08-24,Amoxil 500mg (Antibiotic),Prescription,2,4.2,2.52,8.4,3.36
2023-08-24,Omega 3 Fish Oil,Vitamins,2,6.0,3.6,12.0,4.8
2023-08-24,Amoxil 500mg (Antibiotic),Prescription,5,4.2,2.52,21.0,8.4
2023-08-24,Diapers (Pampers),Baby Care,1,6.5,3.9,6.5,2.6
2023-08-24,Amoxil 500mg (Antibiotic),Prescription,5,4.2,2.52,21.0,8.4
2023-08-24,Face Wash (Vichy),Cosmetics,1,9.5,5.7,9.5,3.8
2023-08-25,Baby Formula Milk,Baby Care,4,4.8,4.08,19.2,2.88
2023-08-25,Vitamin C 1000mg,Vitamins,5,3.5,2.1,17.5,7.0
2023-08-25,Diapers (Pampers),Baby Care,2,6.5,3.9,13.0,5.2
2023-08-26,Band-Aids,First Aid,1,0.8,0.48,0.8,0.32
2023-08-26,Blood Pressure Monitor,Medical Devices,2,15.0,9.0,30.0,12.0
2023-08-26,Omega 3 Fish Oil,Vitamins,5,6.0,3.6,30.0,12.0
2023-08-26,Brufen 400mg,Painkillers,2,1.5,0.9,3.0,1.2
2023-08-27,Blood Pressure Monitor,Medical Devices,3,15.0,9.0,45.0,18.0
2023-08-27,Cough Syrup,Cold & Flu,4,2.1,1.26,8.4,3.36
2023-08-28,Panadol Extra 500mg,Painkillers,4,1.2,0.72,4.8,1.92
2023-08-28,Amoxil 500mg (Antibiotic),Prescription,1,4.2,2.52,4.2,1.68
2023-08-29,Amoxil 500mg (Antibiotic),Prescription,4,4.2,2.52,16.8,6.72
2023-08-29,Diapers (Pampers),Baby Care,1,6.5,3.9,6.5,2.6
2023-08-29,Amoxil 500mg (Antibiotic),Prescription,3,4.2,2.52,12.6,5.04
2023-08-29,Blood Pressure Monitor,Medical Devices,2,15.0,9.0,30.0,12.0
2023-08-29,Band-Aids,First Aid,5,0.8,0.48,4.0,1.6
2023-08-29,Face Wash (Vichy),Cosmetics,4,9.5,5.7,38.0,15.2
2023-08-30,Panadol Extra 500mg,Painkillers,2,1.2,0.72,2.4,0.96
2023-08-30,Band-Aids,First Aid,1,0.8,0.48,0.8,0.32
2023-08-30,Cough Syrup,Cold & Flu,2,2.1,1.26,4.2,1.68
2023-08-30,Band-Aids,First Aid,1,0.8,0.48,0.8,0.32
2023-08-30,Band-Aids,First Aid,4,0.8,0.48,3.2,1.28
2023-08-30,Band-Aids,First Aid,2,0.8,0.48,1.6,0.64
2023-08-31,Face Wash (Vichy),Cosmetics,1,9.5,5.7,9.5,3.8
2023-08-31,Blood Pressure Monitor,Medical Devices,5,15.0,9.0,75.0,30.0
2023-08-31,Brufen 400mg,Painkillers,1,1.5,0.9,1.5,0.6
2023-08-31,Panadol Extra 500mg,Painkillers,1,1.2,0.72,1.2,0.48
2023-08-31,Diapers (Pampers),Baby Care,4,6.5,3.9,26.0,10.4
2023-08-31,Omega 3 Fish Oil,Vitamins,5,6.0,3.6,30.0,12.0
